,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1737,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah Asri Bagus di Simpang Dago, Bandung","Dago, Bandung",4,2,2,LT : 89 m²,LB : 178 m²
1738,Rp 25 Miliar,Cicilan: 92 Jutaan per bulan,Rumah Sayap Dago Kawasan Elite Di Bandung,"Sayap Dago, Bandung",5,5,2,LT : 600 m²,LB : 500 m²
1739,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Strategis Terawat Turangga Buah abtu ,"Buah Batu, Bandung",8,4,1,LT : 290 m²,LB : 317 m²
1740,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Hitung Tanah Murah Turangga Suryalaya,"Buah Batu, Bandung",3,3,3,LT : 230 m²,LB : 214 m²
1741,Rp 800 Juta,Cicilan: 2 Jutaan per bulan,Rumah Hook Dalam Cluster Siap Huni Cisaranten Arcamanik,"Arcamanik, Bandung",2,1,2,LT : 96 m²,LB : 80 m²
1742,"Rp 5,9 Miliar",Cicilan: 21 Jutaan per bulan,Rumah Di Batununggal Indah Best Location,"Batununggal, Bandung",4,4,2,LT : 334 m²,LB : 450 m²
1743,Rp 16 Miliar,Cicilan: 59 Jutaan per bulan, Rumah Strategis Di Sayap Riau Dekat Cafe Bali,"Riau, Bandung",5,4,2,LT : 638 m²,LB : 587 m²
1744,"Rp 7,9 Miliar",Cicilan: 29 Jutaan per bulan,Rumah Terawat Bisa Untuk Usaha Jalan Jurang Cipaganti Pasteur,"Pasteur, Bandung",14,4,8,LT : 713 m²,LB : 350 m²
1745,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Rumah 2 Lantai Siap Huni Di Mekarwangi Bandung Kota,"Mekar Wangi, Bandung",3,4,1,LT : 107 m²,LB : 180 m²
1746,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Murah Hitung Tanah Antapani Bandung Kota,"Antapani, Bandung",2,1,0,LT : 160 m²,LB : 54 m²
1747,"Rp 2,79 Miliar",Cicilan: 10 Jutaan per bulan,Dijual Rumah 1.5 Lantai Mezanine Mekarwangi,"Mekar Wangi, Bandung",3,1,1,LT : 167 m²,LB : 145 m²
1748,"Rp 3,75 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Mewah Clasik Lokasi Bagus Antapani Bandung,"Antapani, Bandung",5,3,0,LT : 330 m²,LB : 260 m²
1749,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Baru 2 Lantai di Area Turangga Bandung,"Turangga, Bandung",3,3,0,LT : 130 m²,LB : 108 m²
1750,"Rp 14,9 Miliar",Cicilan: 55 Jutaan per bulan,Rumah Strategis Bisnis di Sayap Riau Bandung,"Riau, Bandung",9,4,2,LT : 403 m²,LB : 280 m²
1751,"Rp 4,3 Miliar",Cicilan: 15 Jutaan per bulan,Rumah mewah ada kolam renang cigadung dago ,"Cigadung, Bandung",5,5,0,LT : 204 m²,LB : 228 m²
1752,"Rp 7,5 Miliar",Cicilan: 27 Jutaan per bulan,"Rumah Bagus SHM di Turangga, Bandung Kota","Turangga, Bandung",5,4,2,LT : 470 m²,LB : 250 m²
1753,"Rp 8,5 Miliar",Cicilan: 31 Jutaan per bulan,"Rumah Villa Furnished di Dago Pakar Timur, Bandung","Dago Pakar, Bandung",6,4,2,LT : 550 m²,LB : 350 m²
1754,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Murah Lokasi Bagus Turangga Lengkong Bandung,"Turangga, Bandung",5,2,0,LT : 255 m²,LB : 190 m²
