,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
0,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,"Full furnish, bawa koper aja Rumah di Kota baru parahyangan nego yuk","Kota Baru Parahyangan, Bandung",2,1,1,LT : 72 m²,LB : 50 m²
1,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Baru Unfurnished SHM di Sariwangi, Bandung","Sariwangi, Bandung",2,1,1,LT : 70 m²,LB : 80 m²
2,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,"New Scandinavian 2lt Kiara Sari Asri, dkt Samsat Soetta & Tol Buahbatu!","Buah Batu, Bandung",3,2,1,LT : 60 m²,LB : 70 m²
3,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,Rumah View Danau di Podomoro Park Bandung,"Podomoro Park Bandung, Bandung",2,3,1,LT : 90 m²,LB : 94 m²
4,"Rp 4,9 Miliar",Cicilan: 18 Jutaan per bulan,Rumah Baru Lux Cantik di Singgasana Pradana Lokasi Favorit,"Singgasana, Bandung",4,4,0,LT : 200 m²,LB : 300 m²
5,"Rp 5,2 Miliar",Cicilan: 19 Jutaan per bulan,Rumah Cantik Terbaru di Summarecon Bandung Cluster Hillary,"Summarecon Bandung, Bandung",3,3,0,LT : 240 m²,LB : 169 m²
6,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Baru Turangga Sayap Karawitan Kota Bandung Dekat SMAN 8,"Turangga, Bandung",4,3,1,LT : 100 m²,LB : 170 m²
7,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,Rumah minimalis paling laris di margahayu dekat griya,"Ciwastra, Bandung",2,1,1,LT : 72 m²,LB : 50 m²
8,"Rp 1,25 Miliar",Cicilan: 4 Jutaan per bulan,Dijual Rumah Townhouse dekat Golf Timur Arcamanik Full Furnish,No Data,3,2,1,LT : 115 m²,LB : 120 m²
9,Rp 12 Miliar,Cicilan: 44 Jutaan per bulan,Dijual Cepat Rumah Induk+kosn Aktif 23 Kamar di Tubagus Ismail,"Tubagus Ismail, Bandung",27,27,10,LT : 730 m²,LB : 600 m²
10,"Rp 8,9 Miliar",Cicilan: 33 Jutaan per bulan,Rumah Hook Mediterania di Geger Kalong Cocok Untuk Tinggal/Invest,"Geger Kalong, Bandung",5,3,5,LT : 488 m²,LB : 600 m²
11,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,Dijual Cepat Rumah Asri Hitung Tanah Murah Dikomp.elit Setrasari ,"Setra Sari, Bandung",8,5,4,LT : 750 m²,LB : 500 m²
12,"Rp 4,3 Miliar",Cicilan: 15 Jutaan per bulan,"Rumah Baru di Singgasana Pradana, Bandung","Mekar Wangi, Bandung",4,3,2,LT : 200 m²,LB : 235 m²
13,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Siap Huni di Kawasan Elit Mekarwangi Singgasana,"Bandung Kota, Bandung",7,4,2,LT : 322 m²,LB : 300 m²
14,"Rp 2,35 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Minimalis 2 Lantai  Jalan Kembar  Bandung,"Moch Toha, Bandung",3,3,2,LT : 137 m²,LB : 165 m²
15,Rp 295 Juta,Cicilan: 1 Jutaan per bulan,Jual RUMAH MURAH MODERN DEKAT GERBANG TOL BUAH BATU BANDUNG,"Bojongsoang, Bandung",2,1,1,LT : 70 m²,LB : 50 m²
16,Rp 245 Juta,Cicilan: 911 Ribuan per bulan,JUAL RUMAH READY & INDENT TERMURAH DI BANDUNG DEKAT KE TOL ,"Batununggal, Bandung",2,1,1,LT : 60 m²,LB : 36 m²
17,"Rp 2,98 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Kota Baru Parahyangan Tatar Jingganegara 2 Lantai SHM Hadap Selatan Baru,"Padalarang, Bandung",3,2,1,LT : 125 m²,LB : 168 m²
18,Rp 25 Miliar,Cicilan: 92 Jutaan per bulan,Rumah Mewah Asri Terawat Di Sayap Ciumbuleuit Bandung Dekat Unpar,"Ciumbuleuit, Bandung",5,4,6,LT : 1085 m²,LB : 768 m²
19,"Rp 2,75 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Modern Minimalis Nyaman di Istana Sudirman Regency,"Cijerah, Bandung",4,3,1,LT : 155 m²,LB : 200 m²
20,"Rp 8,5 Miliar",Cicilan: 31 Jutaan per bulan,"Turun Harga! Luxury Home At Setra Duta, Bandung","Setra Duta, Bandung",4,5,4,LT : 300 m²,LB : 600 m²
21,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,RUMAH MINIMALIS CIGADUNG Cibeunying Kaler Dekat SALMAN AL FARISI DAGO Bandung,"Cigadung, Bandung",4,3,1,LT : 180 m²,LB : 280 m²
22,"Rp 1,85 Miliar",Cicilan: 6 Jutaan per bulan,Cimahi Kota Mas Bandung Barat Perumahan Kota Mas Cimahi Jual Cepat Nego Sampe Deal,"Bandung Barat, Bandung",4,3,2,LT : 138 m²,LB : 200 m²
23,"Rp 9,9 Miliar",Cicilan: 36 Jutaan per bulan,Di  rumah strategis main road untuk usaha di jalan riau,"Riau, Bandung",15,6,6,LT : 543 m²,LB : 450 m²
24,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,Dijual Cepat Rumah Asri di Dago Tea House Bukit Dago Selatan Bdg,"Dago, Bandung",6,4,3,LT : 705 m²,LB : 276 m²
25,"Rp 1,02 Miliar",Cicilan: 3 Jutaan per bulan,Investasi Cerdas Rumah Mewah Dekat Pusat Kota!,"Andir, Bandung",3,3,1,LT : 52 m²,LB : 78 m²
26,Rp 920 Juta,Cicilan: 3 Jutaan per bulan,Rumah Harga dibawah NJOP Margahayu Raya Belakang Superindo Griya,"Margahayu, Bandung",4,3,2,LT : 105 m²,LB : 160 m²
27,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Cepat Rumah  Taman Sakura Pratista  10 menit ke Tol Pasko,"Pasir Koja, Bandung",3,2,2,LT : 180 m²,LB : 120 m²
28,Rp 29 Miliar,Cicilan: 107 Jutaan per bulan,Turun Harga! Rumah Ex Cafe Lokasi Strategis Sayap Dago,"Sayap Dago, Bandung",7,11,22,LT : 1000 m²,LB : 840 m²
29,"Rp 1,51 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Murah Asri Mewah 2 Lantai di Kalasan, Cimahi, Bandung","Cimahi, Bandung",3,3,1,LT : 61 m²,LB : 86 m²
30,Rp 37 Miliar,Cicilan: 137 Jutaan per bulan,Rumah Modern Cantik Termurah di Hegarmanah Bandung Kota,"Cidadap, Bandung",4,3,8,LT : 1345 m²,LB : 343 m²
31,"Rp 2,25 Miliar",Cicilan: 8 Jutaan per bulan,ALL-IN!! Rumah Lux 2lt Siap Huni di Area Kembar Pasirluyu BKR Puskot Bandung!,"BKR, Bandung",4,4,2,LT : 107 m²,LB : 160 m²
32,Rp 421 Juta,Cicilan: 1 Jutaan per bulan,Rumah Baru Minimalis di Rancaekek Dekat Tol Cileunyi Bisa KPR,"Rancaekek, Bandung",2,1,1,LT : 60 m²,LB : 36 m²
33,"Rp 1,34 Miliar",Cicilan: 4 Jutaan per bulan,Rumah murah siap huni Margahayu Raya metro,"Rancasari, Bandung",3,2,2,LT : 168 m²,LB : 140 m²
34,Rp 386 Juta,Cicilan: 1 Jutaan per bulan,"Promo Ramadhan, Jual Rumah Masuk Mobil 300 jutaan saja, dekat gedung sate Bandung","Cicaheum, Bandung",2,1,1,LT : 61 m²,LB : 30 m²
35,Rp 536 Juta,Cicilan: 1 Jutaan per bulan,DP 3jt All in Rumah Baru City View di Jatihandap Cahem Bandung ,"Cicadas, Bandung",2,1,2,LT : 90 m²,LB : 36 m²
36,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,Dijual rumah bagus dan strategis di Taman Holis Indah Bandung,"Holis Cigondewah, Bandung",2,1,1,LT : 141 m²,LB : 105 m²
37,"Rp 2,75 Miliar",Cicilan: 10 Jutaan per bulan,"Keren abis lah, Rumah di Kota baru parahyangan full furnish","Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 118 m²
38,"Rp 1,97 Miliar",Cicilan: 7 Jutaan per bulan,EXCLUSIVE! RUMAH VILLA DEKAT STASIUN WHOOSH PADALARANG ,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 120 m²,LB : 98 m²
39,"Rp 5,37 Miliar",Cicilan: 19 Jutaan per bulan,Rumah dekat Gerbang Tol Padalarang Timur Bandung,"Kota Baru Parahyangan, Bandung",3,3,2,LT : 290 m²,LB : 265 m²
40,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,RUMAH BARU LINGKUNGAN AMAN NYAMAN STRATEGIS 2 LANTAI SIAP HUNI DI SUMMARECON CLUSTER HILLARY BANDUNG,"Summarecon Bandung, Bandung",5,4,2,LT : 200 m²,LB : 200 m²
41,"Rp 5,2 Miliar",Cicilan: 19 Jutaan per bulan,Jual Rumah jarang Ada Kota Baru Parahyangan 2 Lt Bagus Siap Huni,"Kota Baru Parahyangan, Bandung",4,3,0,LT : 360 m²,LB : 260 m²
42,"Rp 2,98 Miliar",Cicilan: 11 Jutaan per bulan,Langka! Rumah Full furnished di Kota Baru Parahyangan tinggal bawa koper - selalu Sold Out dalam hitungan hari,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 125 m²,LB : 160 m²
43,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,"Rumah Nyaman di Bandung Tempo Dulu, Kbp ","Kota Baru Parahyangan, Bandung",4,4,2,LT : 392 m²,LB : 336 m²
44,"Rp 4,9 Miliar",Cicilan: 18 Jutaan per bulan,Rumah Luxury Mewah Modern dan Murah di Singgasana Pradana Bandung,"Singgasana, Bandung",4,4,3,LT : 200 m²,LB : 300 m²
45,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Baru Luxury Modern Hilary Summarecon Bandung,"Summarecon Bandung, Bandung",3,3,2,LT : 200 m²,LB : 151 m²
46,"Rp 2,98 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Cantik Modern Furnish di Kota Baru Parahyangan Bandung,"Kota Baru Parahyangan, Bandung",3,2,2,LT : 125 m²,LB : 162 m²
47,"Rp 8,25 Miliar",Cicilan: 30 Jutaan per bulan,Murah Hitung Tanah Rumah Luas di Mekar Wangi,"Mekar Wangi, Bandung",3,3,6,LT : 681 m²,LB : 327 m²
48,"Rp 5,37 Miliar",Cicilan: 19 Jutaan per bulan,"Keren maximal lah, Rumah baru full furnish di Kota baru parahyangan","Kota Baru Parahyangan, Bandung",3,3,2,LT : 245 m²,LB : 300 m²
49,"Rp 4,3 Miliar",Cicilan: 15 Jutaan per bulan,"Luas, lingkungan rimbun Rumah di Kota baru parahyangan bandung","Kota Baru Parahyangan, Bandung",4,1,1,LT : 240 m²,LB : 287 m²
50,"Rp 3,65 Miliar",Cicilan: 13 Jutaan per bulan,Rumah 2 Lantai Terawat Jarang Ada Di Tatar Lokacitra Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",4,3,2,LT : 162 m²,LB : 193 m²
51,"Rp 5,37 Miliar",Cicilan: 19 Jutaan per bulan,Dijual Rumah Modern Tropical Furnished di Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",3,3,1,LT : 245 m²,LB : 300 m²
52,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Hitung Tanah Dibawah NJOP SHM Suryalaya Bandung,"Turangga, Bandung",3,3,3,LT : 230 m²,LB : 214 m²
53,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Minimalis Terbaru di Summarecon Cluster Hillary,"Summarecon Bandung, Bandung",3,3,0,LT : 200 m²,LB : 151 m²
54,Rp 295 Juta,Cicilan: 1 Jutaan per bulan,JUAL RUMAH MURAH BANDUNG DEKAT UNIVERSITAS STT TELKOM,"Buah Batu, Bandung",2,1,1,LT : 70 m²,LB : 50 m²
55,"Rp 2,8 Miliar",Cicilan: 10 Jutaan per bulan,cepat rumah murah open space di dekat jalan jakarta,"Antapani, Bandung",4,3,1,LT : 256 m²,LB : 212 m²
56,"Rp 2,39 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Minimalis Keren Siap Huni di Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",3,2,2,LT : 126 m²,LB : 120 m²
57,"Rp 2,2 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Modern Minimalis Keren Dan Murah Sumamrecon Bandung,"Summarecon Bandung, Bandung",4,3,2,LT : 90 m²,LB : 130 m²
58,"Rp 4,4 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Hoek Modern Minimalis di Tatar Kamandaka Kbp,"Kota Baru Parahyangan, Bandung",5,4,0,LT : 240 m²,LB : 200 m²
59,"Rp 2,85 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Minimalis Cantik Premium di Summarecon Bandung,"Summarecon Bandung, Bandung",4,4,1,LT : 120 m²,LB : 120 m²
60,"Rp 2,79 Miliar",Cicilan: 10 Jutaan per bulan,Dijual Rumah Kota Baru Parahyangan Bagus Jarang Ada ,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 145 m²
61,"Rp 2,98 Miliar",Cicilan: 11 Jutaan per bulan,Dijual Rumah Cantik Fully Furnished 2 Lantai KBP,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 125 m²,LB : 160 m²
62,"Rp 1,3 Miliar",Cicilan: 4 Jutaan per bulan,JARANG ADA. HARGA 1 MILIARAN RUMAH SIAP HUNI DI KOMPLEK PASIR SALAM,"Buah Batu, Bandung",4,3,1,LT : 108 m²,LB : 160 m²
63,"Rp 7,75 Miliar",Cicilan: 28 Jutaan per bulan,Murahh bangettt lho Rumah luxury di di SAYAP Turangga 2.5 lantai SHM Bagus hadap Timur,"Turangga, Bandung",5,6,3,LT : 379 m²,LB : 500 m²
64,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,"Jual Kos-kosan Baru di Podomoro Park, Seberang Universitas Telkom ","Buah Batu, Bandung",10,3,2,LT : 70 m²,LB : 146 m²
65,"Rp 2,98 Miliar",Cicilan: 11 Jutaan per bulan,WOW BAGUS Banget Rumah Cantik Full Furnished tinggal bawa koper di Cluster Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 125 m²,LB : 160 m²
66,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,JUAL HARGA GERCEP RUMAH TINGGAL DI WANGSA KOTA BARU PARAHYANGAN BANDUNG,"Kota Baru Parahyangan, Bandung",4,3,1,LT : 198 m²,LB : 325 m²
67,"Rp 2,25 Miliar",Cicilan: 8 Jutaan per bulan,"Langka! Rumah Huni Murah Luas Terawat, Turangga Lengkong Bandung","Turangga, Bandung",6,4,3,LT : 325 m²,LB : 250 m²
68,Rp 210 Juta,Cicilan: 780 Ribuan per bulan,Rumah siap huni dan indent  free design dekat stt telkom  tol buahbatu,"Ciwastra, Bandung",2,1,1,LT : 36 m²,LB : 60 m²
69,"Rp 9,7 Miliar",Cicilan: 36 Jutaan per bulan,Rumah BTD 2 lantai Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",6,5,2,LT : 391 m²,LB : 500 m²
70,Rp 45 Miliar,Cicilan: 167 Jutaan per bulan,Dijual Cepat Lokasi Bagus Untuk Bisnis di Mainroad Riau Bandung,"Riau, Bandung",6,2,4,LT : 1066 m²,LB : 200 m²
71,"Rp 2,4 Miliar",Cicilan: 8 Jutaan per bulan,"Rumah Bagus Murah Unfurnishd Siap Huni SHM di Batununggal,Bandung","Batununggal, Bandung",3,1,1,LT : 220 m²,LB : 200 m²
72,Rp 11 Miliar,Cicilan: 40 Jutaan per bulan,Rumah Villa Asri di Kawasan Ekspatriat Murah Ciumbuleuit Bandung,"Ciumbuleuit, Bandung",3,4,2,LT : 322 m²,LB : 300 m²
73,Rp 799 Juta,Cicilan: 2 Jutaan per bulan,"Dijual Rumah Murah, siap Huni, Ciwastra, Bandung kota","Buah Batu, Bandung",2,1,1,LT : 93 m²,LB : 52 m²
74,Rp 9 Miliar,Cicilan: 33 Jutaan per bulan,"segera Rumah komplek bergengsi,aman,nyaman,sejuk","Setra Duta, Bandung",5,5,2,LT : 600 m²,LB : 400 m²
75,"Rp 2,65 Miliar",Cicilan: 9 Jutaan per bulan,Segera Miliki Rumah 2 Lantai Di Jalan Kalasan Bisa Buat Usaha,"Cijerah, Bandung",4,3,2,LT : 99 m²,LB : 124 m²
76,Rp 985 Juta,Cicilan: 3 Jutaan per bulan,Rumah Murah Siap Huni Cisaranten Arcamanik,"Arcamanik, Bandung",4,2,1,LT : 120 m²,LB : 200 m²
77,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,"Open House Today, Gress! Dkt GRIYA Buah Batu Syp Cijagra","Buah Batu, Bandung",4,3,2,LT : 120 m²,LB : 160 m²
78,"Rp 7,8 Miliar",Cicilan: 29 Jutaan per bulan,Dijual Rumah Harga Njop Setrasari jarang ada,"Setra Sari, Bandung",5,4,1,LT : 750 m²,LB : 500 m²
79,Rp 9 Miliar,Cicilan: 33 Jutaan per bulan,Rumah Baru Sangat Mewah Cluster Terbaik Summarecon Bandung,"Summarecon Bandung, Bandung",3,4,2,LT : 294 m²,LB : 415 m²
80,"Rp 2,7 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Bagus di Jatimulya SHM Siap Huni Turangga Bandung,"Turangga, Bandung",4,2,3,LT : 306 m²,LB : 200 m²
81,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,OPEN HOUSE 10 - 11 AGUSTUS RUMAH MINIMALIS DI KOTABARU PARAHYANGAN DEKAT EXIT TOL PADALARANG IAN,"Kota Baru Parahyangan, Bandung",4,4,2,LT : 392 m²,LB : 336 m²
82,Rp 920 Juta,Cicilan: 3 Jutaan per bulan,"HARGA TERBAIK DI BAWAH NJOP DAN APPRAISAL BANK RUMAH BARU RENOVASI 2 LANTAI DI KOMPLEK MARGAHAYU, METRO, KOTA BANDUNG","Margahayu, Bandung",5,3,1,LT : 105 m²,LB : 160 m²
83,"Rp 3,55 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Baru Siap Huni Singgasana Mekar Wangi,"Mekar Wangi, Bandung",4,3,2,LT : 140 m²,LB : 170 m²
84,"Rp 1,3 Miliar",Cicilan: 4 Jutaan per bulan,"Rumah Bagus Terawat Di Kalijati Antapani, Bandung Kota","Antapani, Bandung",3,1,1,LT : 138 m²,LB : 100 m²
85,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,"Rumah Toko 3 Lantai di Jl. Raya Margacinta Buah Batu, Bandung","Bandung Kota, Bandung",3,3,3,LT : 390 m²,LB : 400 m²
86,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Baru 2 Lantai Disain Industrial di Margahayu Raya,"Buah Batu, Bandung",3,2,0,LT : 101 m²,LB : 130 m²
87,"Rp 2,85 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Hitung Tanah di Turangga Dekat Karawitan Bandung,"Turangga, Bandung",6,3,2,LT : 285 m²,LB : 217 m²
88,Rp 290 Juta,Cicilan: 1 Jutaan per bulan,Rumah Baru El Mansion Soreang Harga Murah Strategis Di Bandung,"Soreang, Bandung",2,1,1,LT : 61 m²,LB : 40 m²
89,Rp 3 Miliar,Cicilan: 11 Jutaan per bulan,Rumah Murah Kota Baru Parahyangan Ada Swimming Pool,"Kota Baru Parahyangan, Bandung",4,2,0,LT : 136 m²,LB : 250 m²
90,"Rp 2,87 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Keren Furnish Siap Huni di Candraresmi Kota Baru,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 93 m²
91,"Rp 2,6 Miliar",Cicilan: 9 Jutaan per bulan,RUMAH HOOK 2 LANTAI SEMI FURNISHED LINGKUNGAN AMAN NYAMAN SIAP HUNI DI SUMMARECON CLUSRTER CNYTHIA BANDUNG,"Summarecon Bandung, Bandung",2,2,1,LT : 163 m²,LB : 99 m²
92,"Rp 3,65 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Mewah Siap Huni Lokasi Favorit Batununggal Indah Bandung,"Batununggal, Bandung",4,3,1,LT : 325 m²,LB : 216 m²
93,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Terawat Hitung Tanah Lokasi Batununggal Bandung,"Batununggal, Bandung",6,5,1,LT : 260 m²,LB : 400 m²
94,"Rp 4,3 Miliar",Cicilan: 15 Jutaan per bulan,Jual Rumah Baru 2 Lantai siap huni di Singgasana Pradana Bandung,"Singgasana, Bandung",4,3,2,LT : 160 m²,LB : 240 m²
95,Rp 975 Juta,Cicilan: 3 Jutaan per bulan,Rumah Hadap Timur dekat MIM Margahayu Raya,"Soekarno Hatta, Bandung",3,2,1,LT : 150 m²,LB : 110 m²
96,"Rp 5,37 Miliar",Cicilan: 19 Jutaan per bulan,Rumah Baru Kota Baru Parahyangan dijual Posisi Hook Full Furmished,"Padalarang, Bandung",3,3,2,LT : 252 m²,LB : 300 m²
97,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Rumah baru cijagra dekat griya buahbatu bandung,"Buah Batu, Bandung",4,3,2,LT : 120 m²,LB : 160 m²
98,"Rp 4,1 Miliar",Cicilan: 15 Jutaan per bulan,Rumah Kos Hitung Tanah Di Sayap Asia Afrika Lengkong Besar,"Lengkong, Bandung",18,8,5,LT : 400 m²,LB : 600 m²
99,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Cepat Rumah Asri Dan Nyaman Dalam Komplek Geger Kalong,"Geger Kalong, Bandung",5,6,1,LT : 237 m²,LB : 450 m²
100,"Rp 5,37 Miliar",Cicilan: 19 Jutaan per bulan,"DIJUAL RUMAH MEWAH , MEGAH , MODERN DI KBP , FULL FURNISHED ","Kota Baru Parahyangan, Bandung",3,3,1,LT : 300 m²,LB : 245 m²
101,"Rp 5,2 Miliar",Cicilan: 19 Jutaan per bulan,RUMAH BARU 2 LANTAI MINIMALIS MODERN LINGKUNGAN AMAN NYAMAN SIAP HUNI DI SUMMARECON CLUSTER HILLARY BANDUNG,"Summarecon Bandung, Bandung",5,4,1,LT : 240 m²,LB : 239 m²
102,"Rp 1,99 Miliar",Cicilan: 7 Jutaan per bulan,Rumah minimalis modern view keren kota bandung sejuk asri ,"Setra Duta, Bandung",2,2,2,LT : 120 m²,LB : 98 m²
103,Rp 295 Juta,Cicilan: 1 Jutaan per bulan,JUAL RUMAH MURAH BAGUS DEKAT STT TELKOM BANDUNG,"Ciwastra, Bandung",2,1,1,LT : 70 m²,LB : 50 m²
104,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,"Muraahh Rumah di Kota baru parahyangan, simakirana","Kota Baru Parahyangan, Bandung",2,1,1,LT : 90 m²,LB : 50 m²
105,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,"Rumah SHM Lokasi Strategis di Ligar Agung, Cibeunying, Bandung","Cibeunying, Bandung",5,3,1,LT : 200 m²,LB : 230 m²
106,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,Dijual Rumah Siap Huni Full Furnished Tengah Kota Bandung,"Bandung Kota, Bandung",4,3,2,LT : 420 m²,LB : 550 m²
107,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,Rumah 2 Lantai Murah Pisan Di Bumi Sariwangi Bandung Barat,"Sariwangi, Bandung",6,5,2,LT : 265 m²,LB : 450 m²
108,"Rp 1,93 Miliar",Cicilan: 7 Jutaan per bulan,Rumah full furnished Harga Miring Kota Baru Parahyangan KBP,"Kota Baru Parahyangan, Bandung",2,2,1,LT : 126 m²,LB : 110 m²
109,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,"BEST PRICE!! 1 Man Di Turangga, Rumah Bagus 2 Lantai","Turangga, Bandung",3,2,1,LT : 126 m²,LB : 120 m²
110,Rp 18 Miliar,Cicilan: 66 Jutaan per bulan,"Rumah Heritage di Sayap Riau Bandung, Bandung","Riau, Bandung",5,2,3,LT : 538 m²,LB : 389 m²
111,"Rp 6,97 Miliar",Cicilan: 25 Jutaan per bulan,Exclusive Rumah Baru Kawasan Premium Golf Tatar Paramawati Kbp,"Kota Baru Parahyangan, Bandung",4,5,2,LT : 375 m²,LB : 275 m²
112,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,Dijual Rumah Kota Baru Parahyangan bagus,"Kota Baru Parahyangan, Bandung",3,3,1,LT : 495 m²,LB : 450 m²
113,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Kota Baru Parahyangan 2 Lantai Bagus,"Kota Baru Parahyangan, Bandung",3,3,2,LT : 220 m²,LB : 133 m²
114,Rp 1 Miliar,Cicilan: 3 Jutaan per bulan,Rumah luas202 di Sayap logam margacinta trs buabbatu,"Margacinta, Bandung",6,4,2,LT : 202 m²,LB : 180 m²
115,"Rp 15,5 Miliar",Cicilan: 57 Jutaan per bulan,Dijual Rumah Luxury di Singgasana Pradana Bandung,"Bojongloa Kidul, Bandung",5,5,4,LT : 450 m²,LB : 1000 m²
116,Rp 680 Juta,Cicilan: 2 Jutaan per bulan,Rumah di Botanical View Residence dkt Tol Padalarang dan Kantor KBB IKEA ,"Padalarang, Bandung",2,1,1,LT : 72 m²,LB : 57 m²
117,Rp 785 Juta,Cicilan: 2 Jutaan per bulan,Rumah di Kota Cimahi Tanah Luas dkt Cipageran Kolonel Masturi SHM,"Cihanjuang, Bandung",2,1,1,LT : 140 m²,LB : 60 m²
118,"Rp 2,25 Miliar",Cicilan: 8 Jutaan per bulan,Rumah lokasi strategis di Sayap BKR luas215,"BKR, Bandung",6,2,2,LT : 215 m²,LB : 300 m²
119,"Rp 3,55 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Baru Scandinavian Luxury di Komplek Elit Singgasana,"Bandung Kota, Bandung",4,3,2,LT : 140 m²,LB : 175 m²
120,"Rp 1,25 Miliar",Cicilan: 4 Jutaan per bulan,Rumah bagus 2 lantai SHM tengah kota Bandung,"Leuwi Panjang, Bandung",2,2,0,LT : 55 m²,LB : 85 m²
121,"Rp 7,8 Miliar",Cicilan: 29 Jutaan per bulan,Rumah Mewah 2 Lantai di Dago Asri Bandung SHM,"Dago, Bandung",4,3,2,LT : 400 m²,LB : 350 m²
122,Rp 460 Juta,Cicilan: 1 Jutaan per bulan,RUMAH SIAP HUNI 460 JUTA DI CIHANJUANG DKT PEMKOT CIMAHI PASTEUR SARIWANGI,"Cihanjuang, Bandung",2,1,1,LT : 66 m²,LB : 45 m²
123,Rp 460 Juta,Cicilan: 1 Jutaan per bulan,RUMAH SIAP HUNI 460 JUTAAN di Cihanjuang dkt Sariwangi Pemkot Cimahi Pasteur,"Cihanjuang, Bandung",2,1,1,LT : 66 m²,LB : 45 m²
124,"Rp 1,3 Miliar",Cicilan: 4 Jutaan per bulan,"MAENROAD ANTAPANI, RUMAH USAHA LOKASI PINGGIR JALAN UTAMA COCOK UNTUK KULINER DAN KANTOR, HARGA TERBAIK SE ANTAPANI, KOTA BANDUNG","Antapani, Bandung",1,1,4,LT : 126 m²,LB : 90 m²
125,"Rp 1,3 Miliar",Cicilan: 4 Jutaan per bulan,"JL. PASIR SALAM, BKR, BUAH BATU, HARGA 1 MILYARAN JARANG ADA, BARU RENOVASI, HARGA TERBAIK SE BKR, KOTA BANDUNG","BKR, Bandung",4,3,1,LT : 108 m²,LB : 160 m²
126,Rp 800 Juta,Cicilan: 2 Jutaan per bulan,"Over Kredit Rumah Strategis Akses Mudah di Cluster Bunisari Asri, Antapani, Bandung","Antapani, Bandung",3,2,1,LT : 91 m²,LB : 96 m²
